카타, 40, 160
자가, 68, 146
마사, 86, 146
마하, 68, 194
파아, 76, 191
다가, 89, 178
나아, 49, 176
자가, 89, 164
사사, 41, 141
타가, 93, 148
차차, 46, 199
아카, 74, 187
하자, 67, 153
사차, 56, 166
사나, 66, 180
자아, 40, 153
파아, 88, 199
자카, 60, 177
아아, 83, 165
나자, 81, 156
나하, 86, 153
나아, 86, 181
차다, 91, 171
바다, 73, 173
자사, 71, 157
아라, 87, 173
나하, 67, 147
파타, 40, 178
파하, 83, 160
카바, 42, 182
카나, 97, 150
라하, 71, 148
다나, 47, 187
바카, 42, 169
나사, 48, 196
타카, 68, 177
라마, 78, 140
가가, 41, 180
라나, 59, 145
카마, 52, 166
다파, 80, 142
라나, 58, 182
하카, 86, 162
라라, 80, 154
파파, 89, 151
아바, 75, 184
카사, 82, 140
라가, 96, 187
카라, 60, 197
타하, 46, 180
하사, 87, 154
바가, 78, 180
하아, 68, 179
다카, 72, 150
나가, 50, 154
아하, 48, 192
아가, 74, 184
타타, 62, 155
사타, 40, 175
사바, 45, 172
바다, 78, 179
다아, 64, 174
마아, 73, 142
나자, 97, 162
파아, 49, 155
아자, 54, 145
가다, 97, 187
사다, 84, 157
카하, 44, 155
차마, 83, 152
파자, 76, 199
카나, 49, 157
아바, 43, 142
하차, 82, 191
바나, 73, 183
다마, 92, 188
가타, 71, 141
차마, 84, 154
라사, 81, 185
타가, 97, 161
사카, 99, 189
마나, 77, 160
아자, 50, 164
차바, 86, 141
다바, 86, 141
파아, 70, 175
자나, 42, 177
바아, 87, 164
나카, 80, 153
라라, 54, 183
차자, 83, 154
다가, 79, 147
마하, 45, 198
가파, 76, 174
카하, 56, 186
타라, 44, 152
사가, 78, 189
마아, 44, 196
타아, 40, 175
마나, 50, 164
타가, 77, 177
카차, 46, 190
다가, 57, 157
차마, 73, 151
아나, 79, 162
카하, 50, 183
차아, 92, 197
가아, 68, 193
아자, 43, 186
파가, 65, 177
마타, 92, 183
아하, 41, 149
바바, 43, 153
파나, 82, 166
아라, 60, 162
바하, 80, 157
아바, 72, 175
자자, 90, 185
타다, 59, 199
파하, 79, 149
카차, 49, 198
다카, 71, 195
하라, 63, 161
나사, 46, 160
하마, 48, 143
하아, 97, 163
자가, 75, 199
나타, 64, 196
바나, 50, 145
나다, 71, 188
하하, 45, 188
아타, 40, 160
카나, 96, 148
다나, 96, 170
나마, 41, 158
파아, 86, 185
자사, 44, 169
라아, 46, 165
가파, 92, 194
카아, 83, 186
다차, 65, 181
카바, 47, 152
파타, 66, 194
자파, 82, 151
차아, 58, 196
라타, 70, 145
마자, 94, 171
타차, 68, 143
사타, 45, 180
다라, 54, 197
파라, 44, 198
차차, 53, 191
라카, 96, 148
하차, 53, 168
다가, 83, 149
파카, 67, 174
자나, 96, 162
다자, 88, 186
아카, 93, 177
사나, 72, 187
하라, 71, 148
바다, 64, 162
자하, 73, 153
차타, 68, 157
가마, 89, 186
다라, 72, 157
차차, 79, 197
나가, 54, 180
차나, 49, 183
마가, 48, 155
타다, 80, 192
라자, 47, 177
마바, 96, 194
차자, 73, 161
카바, 86, 144
카가, 42, 195
차나, 58, 181
하바, 55, 198
마가, 87, 169
라하, 88, 142
타파, 52, 190
타다, 83, 164
아타, 76, 181
타파, 56, 180
카아, 47, 165
마마, 59, 140
카파, 65, 147
하가, 86, 192
가마, 67, 151
사카, 86, 147
가카, 54, 183
파가, 49, 197
카사, 43, 189
하바, 93, 180
사하, 42, 166
자자, 92, 186
마라, 85, 155
아라, 86, 152
라라, 71, 164
파하, 95, 163
다사, 97, 164
사타, 62, 186
자나, 71, 187
아나, 91, 141
나사, 97, 143
카가, 93, 146
자바, 77, 163
카차, 69, 197
아파, 57, 183
바가, 62, 195
